Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
BO-5113;;11A;200;Obersee;Fischbach;2;1;12.83;6.98;5.97;s; 4’282’358.00 ;96.54; 4’134’188.41 
BO-5108;;14A;200;Obersee;Fischbach;2;1;13.55;7.27;5.74;s; 5’468’505.00 ;96.75; 5’290’778.59 
BO-5024;;17B;200;Obersee;Fischbach;1;30;15.01;7.61;4.55;d; 666’399.00 ;96.96; 646’140.47 
BO-5026;;10B;200;Obersee;Fischbach;1;30;13.47;6.89;4.29;d; 1’265’590.00 ;97; 1’227’622.30 
BO-5027;;11B;200;Obersee;Fischbach;1;30;13.7;7.18;4.36;d; 1’538’959.00 ;96.78; 1’489’404.52 
BO-5036;;12B;200;Obersee;Fischbach;1;30;12.16;6.11;4.11;d; 1’604’324.00 ;97.05; 1’556’996.44 
BO-5030;;13B;200;Obersee;Fischbach;1;30;12.92;6.75;4.07;d; 1’913’921.00 ;96.82; 1’853’058.31 
BO-5029;;12B;200;Obersee;Fischbach;1;30;15.08;7.86;4.34;d; 1’915’471.00 ;96.94; 1’856’857.59 
BO-5025;;10A;200;Obersee;Fischbach;1;30;13.73;7.08;4.2;d; 2’566’894.00 ;96.74; 2’483’213.26 
BO-5032;;17B;200;Obersee;Fischbach;1;30;12.27;7.84;4.83;d; 2’629’909.00 ;96.83; 2’546’540.88 
BO-5028;;12A;200;Obersee;Fischbach;1;30;14.16;7.66;5.27;d; 2’712’062.00 ;96.94; 2’629’072.90 
BO-5038;;13B;200;Obersee;Fischbach;1;30;14.08;7.24;4.6;d; 3’168’083.00 ;96.8; 3’066’704.34 
BO-5035;;11B;200;Obersee;Fischbach;1;30;11.06;5.53;2.99;d; 3’406’582.00 ;96.73; 3’295’186.77 
BO-5031;;17A;200;Obersee;Fischbach;1;30;14.13;7.03;4.06;d; 4’092’622.00 ;96.88; 3’964’932.19 
BO-5034;;11A;200;Obersee;Fischbach;1;30;12.25;6.25;3.53;d; 4’118’261.00 ;96.69; 3’981’946.56 
BO-5037;;13A;200;Obersee;Fischbach;1;30;15.09;7.49;4.23;d; 4’369’413.00 ;96.68; 4’224’348.49 
BO-5033;;10B;200;Obersee;Fischbach;1;30;13.26;7.67;4.31;d; 4’686’192.00 ;96.67; 4’530’141.81 
BO-5084;;15B;200;Obersee;Fischbach;2;30;15.17;8.01;4.9;d; 1’182’418.00 ;96.99; 1’146’827.22 
BO-5074;;16B;200;Obersee;Fischbach;2;30;14.69;8.04;5.39;s; 1’201’401.00 ;96.76; 1’162’475.61 
